start,end,n_points,spearman_r,p_value,model
2014-12-23T11:30,2014-12-27T19:00,208,0.538,0.0,LOF
2014-12-29T21:30,2015-01-03T05:00,208,0.0457,0.5123,LOF
2015-01-24T20:30,2015-01-29T04:00,208,0.3911,0.0,LOF
2014-12-23T11:30,2014-12-27T19:00,208,0.4323,0.0,GRU
2014-12-29T21:30,2015-01-03T05:00,208,0.0462,0.5075,GRU
2015-01-24T20:30,2015-01-29T04:00,208,0.5287,0.0,GRU
2014-12-23T11:30,2014-12-27T19:00,208,0.4532,0.0,MLP
2014-12-29T21:30,2015-01-03T05:00,208,0.0292,0.6751,MLP
2015-01-24T20:30,2015-01-29T04:00,208,0.436,0.0,MLP
2014-12-23T11:30,2014-12-27T19:00,208,-0.1624,0.0191,SARIMA
2014-12-29T21:30,2015-01-03T05:00,208,0.2243,0.0011,SARIMA
2015-01-24T20:30,2015-01-29T04:00,208,0.6483,0.0,SARIMA
2014-12-23T11:30,2014-12-27T19:00,208,0.5175,0.0,ENS
2014-12-29T21:30,2015-01-03T05:00,208,0.0134,0.8473,ENS
2015-01-24T20:30,2015-01-29T04:00,208,0.4206,0.0,ENS
2014-12-23T11:30,2014-12-27T19:00,208,0.4929,0.0,MACRO
2014-12-29T21:30,2015-01-03T05:00,208,0.0554,0.4268,MACRO
2015-01-24T20:30,2015-01-29T04:00,208,0.279,0.0,MACRO
