start,end,n_points,spearman_r,p_value,model
2014-12-23T11:30,2014-12-27T19:00,208,0.3093,0.0,MLP
2014-12-29T21:30,2015-01-03T05:00,208,0.371,0.0,MLP
2015-01-24T20:30,2015-01-29T04:00,208,0.3837,0.0,MLP
2014-12-23T11:30,2014-12-27T19:00,208,0.2695,0.0001,KRN
2014-12-29T21:30,2015-01-03T05:00,208,0.3631,0.0,KRN
2015-01-24T20:30,2015-01-29T04:00,208,0.3761,0.0,KRN
2014-12-23T11:30,2014-12-27T19:00,208,0.3901,0.0,LOF
2014-12-29T21:30,2015-01-03T05:00,208,0.3304,0.0,LOF
2015-01-24T20:30,2015-01-29T04:00,208,0.4803,0.0,LOF
2014-12-23T11:30,2014-12-27T19:00,208,0.4999,0.0,GRU
2014-12-29T21:30,2015-01-03T05:00,208,0.0594,0.394,GRU
2015-01-24T20:30,2015-01-29T04:00,208,0.479,0.0,GRU
